,price,minimum_nights,availability_365,number_of_reviews,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
109,400,2,331,16,0,1,0,0,0,1,0,0,0
110,170,7,97,18,0,0,1,0,0,1,0,0,0
111,100,4,0,25,0,0,1,0,0,1,0,0,0
112,75,2,355,9,0,1,0,0,0,0,0,1,0
113,150,5,1,21,0,0,1,0,0,1,0,0,0
114,70,3,260,63,0,1,0,0,0,0,0,1,0
115,120,30,296,162,0,0,1,0,0,1,0,0,0
116,89,3,306,276,0,1,0,0,0,0,0,1,0
117,185,5,271,85,0,0,1,0,0,1,0,0,0
118,130,30,318,60,0,0,1,0,0,0,0,1,0
119,77,2,178,4,0,1,0,0,0,0,0,1,0
120,76,2,0,442,0,1,0,0,0,0,0,1,0
121,125,3,239,253,0,1,0,0,0,1,0,0,0
122,135,4,356,90,0,1,0,0,0,0,0,1,0
123,250,29,156,3,0,1,0,0,0,1,0,0,0
124,199,3,30,10,0,1,0,0,0,1,0,0,0
125,160,14,349,3,0,0,1,0,0,1,0,0,0
126,140,2,0,4,0,1,0,0,0,1,0,0,0
127,140,2,63,1,0,0,0,1,0,0,0,1,0
128,115,3,225,136,0,1,0,0,0,1,0,0,0
129,160,3,206,11,0,1,0,0,0,1,0,0,0
130,195,4,290,249,0,1,0,0,0,1,0,0,0
131,80,3,316,213,0,1,0,0,0,0,0,1,0
132,44,8,0,28,0,1,0,0,0,0,0,1,0
133,85,15,349,9,0,1,0,0,0,0,0,1,0
134,125,3,0,162,0,1,0,0,0,0,0,1,0
135,115,15,307,4,0,1,0,0,0,1,0,0,0
136,69,2,0,34,0,0,1,0,0,0,0,1,0
137,225,45,350,135,0,0,1,0,0,1,0,0,0
138,125,6,324,27,0,1,0,0,0,1,0,0,0
139,150,10,12,25,0,0,1,0,0,1,0,0,0
140,219,4,216,132,0,0,1,0,0,1,0,0,0
141,475,3,195,23,0,1,0,0,0,1,0,0,0
142,99,1,158,252,0,0,1,0,0,1,0,0,0
143,69,4,70,211,0,1,0,0,0,0,0,1,0
144,119,3,307,44,0,0,1,0,0,0,0,1,0
145,450,1,359,181,0,0,1,0,0,1,0,0,0
146,79,30,105,28,0,0,0,1,0,0,0,1,0
147,135,2,2,334,0,1,0,0,0,1,0,0,0
148,250,3,333,14,0,1,0,0,0,0,0,1,0
149,250,3,364,4,0,0,1,0,0,1,0,0,0
150,250,2,1,150,0,1,0,0,0,1,0,0,0
151,80,3,0,2,0,0,1,0,0,1,0,0,0
152,70,2,0,317,0,1,0,0,0,0,0,1,0
153,165,2,363,167,0,1,0,0,0,1,0,0,0
154,70,2,323,173,0,0,0,0,1,0,0,1,0
155,275,3,64,4,0,0,1,0,0,1,0,0,0
156,50,2,52,71,0,1,0,0,0,0,0,1,0
157,45,1,351,262,1,0,0,0,0,0,0,1,0
158,150,2,1,193,0,1,0,0,0,1,0,0,0
159,125,1,346,94,0,0,1,0,0,0,0,1,0
160,110,2,353,228,0,1,0,0,0,0,0,1,0
161,170,3,340,88,0,0,1,0,0,1,0,0,0
162,385,5,160,25,0,0,1,0,0,1,0,0,0
163,165,30,209,91,0,0,1,0,0,1,0,0,0
164,150,26,303,38,0,0,1,0,0,1,0,0,0
165,100,2,0,18,0,0,1,0,0,1,0,0,0
166,65,2,0,241,0,1,0,0,0,0,0,1,0
167,350,4,365,13,0,0,0,1,0,1,0,0,0
168,55,3,83,0,1,0,0,0,0,0,0,1,0
169,99,4,357,126,0,0,1,0,0,0,0,1,0
170,200,1,13,35,0,1,0,0,0,1,0,0,0
171,150,4,32,55,0,1,0,0,0,1,0,0,0
172,90,3,362,130,0,1,0,0,0,0,0,1,0
173,120,3,197,51,0,1,0,0,0,0,0,1,0
174,75,3,344,219,0,0,1,0,0,0,0,1,0
175,175,26,365,30,0,1,0,0,0,1,0,0,0
176,125,3,0,3,0,0,1,0,0,1,0,0,0
177,299,30,10,116,0,0,1,0,0,1,0,0,0
178,135,5,177,162,0,1,0,0,0,1,0,0,0
179,130,14,0,0,0,0,1,0,0,0,0,1,0
180,123,1,0,391,0,0,1,0,0,0,0,1,0
181,55,2,307,53,0,0,0,1,0,0,0,1,0
182,195,5,1,10,0,0,1,0,0,1,0,0,0
183,80,2,0,11,0,1,0,0,0,0,0,1,0
184,98,7,321,33,0,0,0,1,0,1,0,0,0
185,160,4,365,6,0,0,0,1,0,0,0,1,0
186,265,7,365,39,0,0,0,1,0,1,0,0,0
187,105,6,363,10,0,0,1,0,0,0,0,0,1
188,200,30,365,0,0,0,1,0,0,0,0,1,0
189,100,2,1,284,0,1,0,0,0,0,0,1,0
190,121,1,329,119,0,0,1,0,0,1,0,0,0
191,50,1,0,173,1,0,0,0,0,0,0,1,0
192,100,5,206,223,0,0,1,0,0,0,0,1,0
193,140,2,112,273,0,1,0,0,0,1,0,0,0
194,71,2,113,37,0,1,0,0,0,0,0,1,0
195,130,2,63,115,0,0,1,0,0,0,0,1,0
196,69,4,67,86,0,1,0,0,0,0,0,1,0
197,68,3,0,37,0,1,0,0,0,0,0,1,0
198,130,1,98,223,0,0,1,0,0,1,0,0,0
199,64,1,328,203,0,0,1,0,0,0,0,1,0
200,140,2,348,32,0,0,0,1,0,1,0,0,0
201,159,2,340,234,0,1,0,0,0,1,0,0,0
202,189,3,0,205,0,0,1,0,0,1,0,0,0
203,250,3,0,101,0,0,1,0,0,1,0,0,0
204,239,4,353,7,0,0,1,0,0,1,0,0,0
205,305,2,314,114,0,0,1,0,0,1,0,0,0
206,155,3,260,240,0,0,1,0,0,1,0,0,0
207,60,1,286,491,0,0,1,0,0,0,0,1,0
208,135,2,226,23,0,1,0,0,0,0,0,1,0
209,120,7,307,21,0,0,1,0,0,0,0,1,0
210,150,3,264,50,0,0,1,0,0,1,0,0,0
211,145,4,358,2,0,0,0,1,0,1,0,0,0
212,250,30,0,82,0,0,1,0,0,1,0,0,0
213,500,4,354,103,0,0,1,0,0,1,0,0,0
214,225,5,1,12,0,0,1,0,0,1,0,0,0
215,130,28,1,187,0,0,1,0,0,1,0,0,0
216,92,1,325,205,0,0,1,0,0,0,0,1,0
217,175,2,365,3,0,0,1,0,0,0,0,1,0
218,99,4,330,144,0,0,1,0,0,1,0,0,0
219,195,4,0,4,0,0,1,0,0,1,0,0,0
220,140,30,225,147,0,0,1,0,0,1,0,0,0
221,135,2,0,21,0,0,1,0,0,1,0,0,0
222,80,14,0,118,0,0,1,0,0,0,0,1,0
223,125,4,350,178,0,0,1,0,0,0,0,1,0
224,110,200,180,92,0,0,1,0,0,1,0,0,0
225,135,4,11,60,0,0,1,0,0,1,0,0,0
226,99,3,34,123,0,1,0,0,0,1,0,0,0
227,38,2,0,204,0,0,0,0,1,0,0,1,0
228,38,2,354,155,0,0,0,0,1,0,0,1,0
229,129,5,348,86,0,0,1,0,0,0,0,1,0
230,37,2,348,190,0,0,0,0,1,0,0,1,0
231,175,3,257,194,0,0,1,0,0,1,0,0,0
232,205,6,79,66,0,0,1,0,0,1,0,0,0
233,285,3,339,126,0,1,0,0,0,1,0,0,0
234,59,2,35,205,0,1,0,0,0,0,0,1,0
235,38,2,347,386,0,0,0,0,1,0,0,1,0
236,99,5,315,457,0,0,0,1,0,1,0,0,0
237,39,1,365,46,0,1,0,0,0,0,0,1,0
238,60,14,0,9,0,1,0,0,0,0,0,1,0
239,90,2,356,0,1,0,0,0,0,0,0,1,0
240,105,2,347,41,1,0,0,0,0,1,0,0,0
241,135,2,3,266,0,1,0,0,0,1,0,0,0
242,390,5,248,150,0,0,1,0,0,1,0,0,0
243,70,3,216,37,0,1,0,0,0,0,0,1,0
244,75,14,0,1,0,0,1,0,0,0,0,1,0
245,60,29,1,14,0,1,0,0,0,0,0,1,0
246,200,3,0,0,0,0,1,0,0,1,0,0,0
247,100,3,354,304,0,1,0,0,0,0,0,1,0
248,70,4,364,18,0,1,0,0,0,0,0,1,0
249,110,6,365,109,0,1,0,0,0,0,0,1,0
250,60,2,332,241,0,1,0,0,0,0,0,1,0
251,68,2,21,211,0,0,1,0,0,0,0,1,0
252,115,1,125,245,0,0,1,0,0,1,0,0,0
253,75,5,218,64,0,1,0,0,0,0,0,1,0
254,60,3,0,0,0,1,0,0,0,0,0,1,0
255,129,7,219,5,0,0,1,0,0,1,0,0,0
256,130,10,33,53,0,1,0,0,0,1,0,0,0
257,95,4,74,149,0,1,0,0,0,1,0,0,0
258,75,3,337,20,0,0,1,0,0,0,0,1,0
259,175,2,7,11,0,1,0,0,0,1,0,0,0
260,190,3,322,59,0,1,0,0,0,1,0,0,0
261,212,3,71,81,0,0,1,0,0,1,0,0,0
262,95,1,340,130,0,0,1,0,0,0,0,1,0
263,135,6,1,200,0,0,1,0,0,1,0,0,0
264,150,2,0,238,0,1,0,0,0,1,0,0,0
265,190,3,327,76,0,1,0,0,0,1,0,0,0
266,169,5,94,20,0,0,1,0,0,1,0,0,0
267,124,28,137,25,0,0,1,0,0,1,0,0,0
268,135,30,85,58,0,1,0,0,0,1,0,0,0
269,122,3,0,109,0,0,1,0,0,0,0,1,0
270,109,1,365,112,0,0,1,0,0,0,0,1,0
271,85,15,364,66,0,0,1,0,0,0,0,1,0
272,145,3,73,140,0,1,0,0,0,1,0,0,0
273,195,11,318,32,0,0,1,0,0,1,0,0,0
274,250,2,0,126,0,1,0,0,0,1,0,0,0
275,575,2,329,209,0,0,1,0,0,1,0,0,0
276,149,2,0,21,0,0,1,0,0,1,0,0,0
277,150,30,0,49,0,0,1,0,0,1,0,0,0
278,90,2,0,129,0,0,1,0,0,0,0,1,0
279,65,31,0,53,0,0,1,0,0,0,0,1,0
280,185,14,364,64,0,1,0,0,0,1,0,0,0
281,500,2,1,53,0,0,1,0,0,1,0,0,0
282,265,3,328,34,0,0,1,0,0,1,0,0,0
283,125,25,93,46,0,0,1,0,0,1,0,0,0
284,200,30,94,41,0,0,1,0,0,1,0,0,0
285,229,1,0,50,0,1,0,0,0,1,0,0,0
286,92,8,186,6,1,0,0,0,0,1,0,0,0
287,110,13,0,38,0,0,1,0,0,1,0,0,0
288,59,3,73,32,0,1,0,0,0,0,0,1,0
289,195,3,136,81,0,1,0,0,0,1,0,0,0
290,169,1,82,69,0,1,0,0,0,1,0,0,0
291,113,5,201,29,0,0,1,0,0,1,0,0,0
292,115,2,0,219,0,0,0,1,0,1,0,0,0
293,149,5,32,47,0,0,1,0,0,1,0,0,0
294,75,3,0,3,0,1,0,0,0,1,0,0,0
295,69,2,0,244,0,1,0,0,0,0,0,1,0
296,150,3,1,311,0,0,1,0,0,1,0,0,0
297,169,2,0,420,0,1,0,0,0,1,0,0,0
298,179,3,19,38,0,1,0,0,0,0,1,0,0
299,150,3,150,46,0,0,1,0,0,0,0,1,0
300,135,4,0,6,0,1,0,0,0,1,0,0,0
301,120,20,265,80,0,1,0,0,0,0,0,1,0
302,75,2,327,192,0,0,1,0,0,0,0,1,0
303,349,3,17,8,0,1,0,0,0,0,1,0,0
304,349,3,22,7,0,1,0,0,0,0,0,1,0
305,165,30,291,35,0,1,0,0,0,1,0,0,0
306,249,3,22,2,0,1,0,0,0,0,0,1,0
307,100,1,0,66,0,1,0,0,0,0,0,1,0
308,200,3,88,90,0,1,0,0,0,1,0,0,0
309,169,3,321,258,0,0,1,0,0,1,0,0,0
310,185,3,300,66,0,1,0,0,0,1,0,0,0
311,65,2,346,245,0,1,0,0,0,1,0,0,0
312,130,35,0,6,0,1,0,0,0,1,0,0,0
313,225,2,72,36,0,0,1,0,0,1,0,0,0
314,179,3,22,16,0,1,0,0,0,0,1,0,0
315,150,5,0,5,0,1,0,0,0,1,0,0,0
316,159,1,200,416,0,0,1,0,0,1,0,0,0
317,95,3,69,239,0,0,1,0,0,0,0,1,0
318,79,15,150,12,0,1,0,0,0,1,0,0,0
319,199,2,137,162,0,0,1,0,0,1,0,0,0
320,69,1,356,127,0,0,1,0,0,0,0,1,0
321,90,3,354,234,0,1,0,0,0,1,0,0,0
322,120,2,312,88,0,1,0,0,0,1,0,0,0
323,80,1,356,48,0,0,0,1,0,0,0,1,0
324,100,90,364,0,0,1,0,0,0,1,0,0,0
325,175,2,157,395,0,1,0,0,0,1,0,0,0
326,120,5,337,108,0,1,0,0,0,1,0,0,0
327,140,7,63,13,0,1,0,0,0,1,0,0,0
328,200,5,157,5,0,1,0,0,0,1,0,0,0
329,165,4,356,12,0,1,0,0,0,0,0,1,0
330,130,30,0,19,0,0,1,0,0,1,0,0,0
331,65,7,146,133,0,0,1,0,0,0,0,0,1
332,123,30,12,15,0,1,0,0,0,1,0,0,0
333,67,2,0,148,0,0,1,0,0,0,0,1,0
334,50,1,82,46,0,0,0,1,0,0,0,1,0
335,130,5,61,100,0,1,0,0,0,1,0,0,0
336,279,31,95,32,0,0,1,0,0,1,0,0,0
337,100,5,10,33,0,1,0,0,0,1,0,0,0
338,212,21,3,45,0,0,1,0,0,1,0,0,0
339,250,3,343,132,0,1,0,0,0,1,0,0,0
340,599,3,0,9,0,1,0,0,0,0,0,1,0
341,249,5,356,171,0,0,1,0,0,1,0,0,0
342,70,3,364,14,0,0,0,1,0,0,0,1,0
343,100,30,365,16,0,1,0,0,0,1,0,0,0
344,60,3,1,404,0,0,1,0,0,0,0,1,0
345,135,2,6,94,0,1,0,0,0,1,0,0,0
346,175,3,0,263,0,1,0,0,0,1,0,0,0
347,120,5,117,55,0,0,1,0,0,1,0,0,0
348,165,7,300,3,0,1,0,0,0,1,0,0,0
349,90,1,0,1,0,0,1,0,0,0,0,1,0
350,225,2,337,58,0,0,1,0,0,1,0,0,0
351,95,2,335,172,0,1,0,0,0,0,0,1,0
352,55,2,0,265,0,1,0,0,0,0,0,1,0
353,95,5,82,119,0,0,1,0,0,0,0,1,0
354,199,2,222,32,0,1,0,0,0,1,0,0,0
355,211,1,1,67,0,0,1,0,0,1,0,0,0
356,145,6,0,39,0,0,1,0,0,1,0,0,0
357,65,14,252,37,0,0,1,0,0,0,0,1,0
358,99,1,284,340,0,0,1,0,0,1,0,0,0
359,110,4,337,31,0,0,0,1,0,1,0,0,0
360,99,1,119,161,0,0,1,0,0,1,0,0,0
361,80,3,0,241,0,1,0,0,0,1,0,0,0
362,175,14,278,95,0,1,0,0,0,1,0,0,0
363,102,4,326,79,0,1,0,0,0,1,0,0,0
364,87,2,0,0,0,0,1,0,0,0,0,1,0
365,190,4,344,62,0,1,0,0,0,1,0,0,0
366,200,2,42,50,0,1,0,0,0,1,0,0,0
367,165,2,16,23,0,1,0,0,0,1,0,0,0
368,110,2,347,159,0,0,1,0,0,1,0,0,0
369,395,2,150,79,0,0,1,0,0,1,0,0,0
370,99,2,357,38,0,1,0,0,0,0,0,1,0
371,39,1,365,85,0,1,0,0,0,0,0,1,0
372,189,2,201,432,0,0,1,0,0,1,0,0,0
373,85,1,0,3,0,0,1,0,0,0,0,1,0
374,260,30,314,3,0,1,0,0,0,1,0,0,0
375,122,1,344,122,0,0,1,0,0,1,0,0,0
376,59,1,350,7,0,0,1,0,0,0,0,1,0
377,165,2,0,191,0,1,0,0,0,1,0,0,0
378,97,3,185,31,0,0,0,1,0,1,0,0,0
379,170,4,0,24,0,0,1,0,0,1,0,0,0
380,76,12,19,71,0,0,1,0,0,0,0,1,0
381,125,2,0,15,0,1,0,0,0,1,0,0,0
382,130,4,82,118,0,0,1,0,0,0,0,1,0
383,225,7,129,26,0,1,0,0,0,1,0,0,0
384,50,2,154,282,0,1,0,0,0,0,0,1,0
385,170,3,160,98,0,1,0,0,0,1,0,0,0
386,132,4,0,10,0,0,1,0,0,1,0,0,0
387,250,4,42,19,0,1,0,0,0,1,0,0,0
388,180,4,41,24,0,0,1,0,0,1,0,0,0
389,141,6,6,9,0,1,0,0,0,1,0,0,0
390,64,21,52,74,0,1,0,0,0,1,0,0,0
391,249,3,225,166,0,1,0,0,0,1,0,0,0
392,79,2,0,115,0,1,0,0,0,0,0,1,0
393,185,2,0,75,0,0,1,0,0,1,0,0,0
394,110,3,256,251,0,1,0,0,0,1,0,0,0
395,650,1,355,35,0,1,0,0,0,1,0,0,0
396,375,3,0,18,0,0,1,0,0,1,0,0,0
397,175,3,332,72,0,0,1,0,0,1,0,0,0
398,150,4,0,22,0,0,1,0,0,1,0,0,0
399,259,8,365,20,0,0,1,0,0,1,0,0,0
400,96,1,0,34,0,0,1,0,0,0,0,1,0
401,145,7,0,8,0,1,0,0,0,1,0,0,0
402,200,4,0,0,0,0,1,0,0,1,0,0,0
403,95,6,0,3,0,0,1,0,0,1,0,0,0
404,175,3,0,18,0,0,1,0,0,1,0,0,0
405,451,2,358,78,0,1,0,0,0,1,0,0,0
406,150,2,317,208,0,0,1,0,0,1,0,0,0
407,250,4,0,0,0,0,1,0,0,1,0,0,0
408,69,1,344,219,1,0,0,0,0,1,0,0,0
409,250,4,89,26,0,0,1,0,0,1,0,0,0
410,200,7,342,26,0,0,1,0,0,1,0,0,0
411,155,10,4,17,0,1,0,0,0,1,0,0,0
412,129,2,0,443,0,0,0,1,0,0,0,1,0
413,98,2,97,8,0,1,0,0,0,0,0,1,0
414,150,2,0,0,0,1,0,0,0,1,0,0,0
415,55,3,337,122,0,0,1,0,0,0,0,1,0
416,300,2,288,222,0,0,1,0,0,1,0,0,0
417,38,60,355,54,0,0,0,1,0,0,0,1,0
418,125,2,8,120,0,1,0,0,0,1,0,0,0
419,175,3,314,182,0,0,1,0,0,0,0,1,0
420,75,7,339,38,0,0,1,0,0,0,0,1,0
421,72,31,116,88,0,1,0,0,0,1,0,0,0
422,165,1,365,27,0,1,0,0,0,0,0,1,0
423,140,5,0,124,0,1,0,0,0,1,0,0,0
424,130,5,0,4,0,1,0,0,0,1,0,0,0
425,139,2,266,408,0,1,0,0,0,1,0,0,0
426,88,1,252,72,0,1,0,0,0,0,0,1,0
427,80,1,326,46,0,1,0,0,0,0,0,1,0
428,150,2,344,47,0,0,1,0,0,0,0,1,0
429,200,2,97,113,0,0,1,0,0,1,0,0,0
430,38,60,0,42,0,0,0,1,0,0,0,1,0
431,90,6,0,3,0,1,0,0,0,0,0,1,0
432,295,3,299,240,0,0,1,0,0,1,0,0,0
433,450,3,2,37,0,1,0,0,0,1,0,0,0
434,130,7,4,31,0,1,0,0,0,1,0,0,0
435,89,3,0,205,0,1,0,0,0,0,0,1,0
436,198,5,108,48,0,0,1,0,0,1,0,0,0
437,99,2,295,306,0,0,1,0,0,1,0,0,0
438,46,4,346,90,0,1,0,0,0,0,0,1,0
439,140,1,0,75,0,0,1,0,0,0,0,1,0
440,500,7,0,7,0,1,0,0,0,1,0,0,0
441,75,5,313,60,0,0,1,0,0,0,0,1,0
442,32,60,356,32,0,0,0,1,0,0,0,1,0
443,250,31,157,189,0,0,1,0,0,1,0,0,0
444,60,2,0,560,0,1,0,0,0,0,0,1,0
445,75,2,318,37,0,0,1,0,0,0,0,1,0
446,350,5,0,6,0,1,0,0,0,1,0,0,0
447,205,6,71,3,0,0,1,0,0,1,0,0,0
448,219,5,0,2,0,1,0,0,0,1,0,0,0
449,190,3,0,167,0,0,1,0,0,1,0,0,0
450,105,28,0,106,0,1,0,0,0,1,0,0,0
451,175,65,0,11,0,0,1,0,0,1,0,0,0
452,95,2,13,43,0,0,1,0,0,0,0,1,0
453,170,5,67,45,0,0,1,0,0,1,0,0,0
454,75,2,0,87,0,1,0,0,0,1,0,0,0
455,37,4,326,131,1,0,0,0,0,0,0,1,0
456,85,2,228,91,0,1,0,0,0,1,0,0,0
457,106,7,1,0,0,1,0,0,0,1,0,0,0
458,79,2,0,15,0,0,1,0,0,1,0,0,0
459,85,2,0,47,0,1,0,0,0,0,0,1,0
460,250,365,0,26,0,0,1,0,0,1,0,0,0
461,49,3,345,186,0,0,1,0,0,0,0,0,1
462,91,3,0,255,0,1,0,0,0,0,0,1,0
463,140,5,120,187,0,0,1,0,0,0,0,1,0
464,400,2,332,110,0,0,1,0,0,1,0,0,0
465,150,2,32,11,0,1,0,0,0,1,0,0,0
466,2000,30,1,30,0,0,1,0,0,1,0,0,0
467,97,3,270,33,0,1,0,0,0,1,0,0,0
468,100,4,21,51,0,0,1,0,0,0,0,1,0
469,500,2,58,24,0,1,0,0,0,1,0,0,0
470,550,10,0,18,0,0,1,0,0,1,0,0,0
471,189,6,341,101,0,0,1,0,0,1,0,0,0
472,130,3,355,111,0,0,1,0,0,0,0,1,0
473,300,1,71,10,0,0,1,0,0,1,0,0,0
474,90,28,65,26,0,1,0,0,0,1,0,0,0
475,300,30,279,21,0,0,0,1,0,1,0,0,0
476,220,30,357,25,0,0,0,1,0,1,0,0,0
477,199,2,44,126,0,0,1,0,0,1,0,0,0
478,120,4,333,102,0,0,1,0,0,1,0,0,0
479,125,2,270,295,1,0,0,0,0,1,0,0,0
480,70,2,50,254,0,1,0,0,0,0,0,1,0
481,70,4,10,110,0,1,0,0,0,0,0,1,0
482,99,2,314,209,0,1,0,0,0,1,0,0,0
483,250,1,0,2,0,0,1,0,0,1,0,0,0
484,250,6,225,1,0,1,0,0,0,1,0,0,0
485,170,3,0,67,0,1,0,0,0,1,0,0,0
486,165,1,0,63,0,0,1,0,0,1,0,0,0
487,99,1,358,97,0,0,1,0,0,0,0,1,0
488,255,4,0,1,0,0,1,0,0,0,0,1,0
489,169,3,334,192,0,1,0,0,0,1,0,0,0
